Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,manufacturing,supply,unemployed,borned,drug,alco,blood_d,metabolic_d,all_disease,square_liv,cluster
Ненецкий автономный округ,42583.708333333336,77620.0,5.45774114969888e-05,0.8213234912804094,6408587.76,9.84,15.26,217936.2,48.86666666666667,2.833333333333333,48.26666666666667,225283.24467554336,90546.91419119196,0.0,0.0156249272872787,0.0,98.1,2792.1,3077.2,138231.7,20.9,4
Вологодская область,1216547.375,27472.0,6.473135436914396e-05,0.9653493765501734,500144.7,13.38,25.380000000000003,158822.8,39.325,5.575000000000001,55.075,575745.8313905018,34807.949532435785,0.0,0.011903878332199,4.4,64.3,2486.2,1420.3,91608.4,0.0,3
Калининградская область,964679.5833333334,27611.4,4.89448310229599e-05,0.8729113423239409,483216.28,13.7,9.86,169088.4,34.15,9.4,56.425,555207.1733503395,40639.37057242451,0.0,0.0111406014552811,6.5,83.6,3232.3,1102.2,82758.6,15.6,3
Ленинградская область,1745146.7916666667,30997.6,3.0405447283452665e-05,0.9527169908796832,607216.78,8.920000000000002,16.84,222071.0,16.833333333333332,7.8,42.06666666666666,574133.2563338166,78356.84477265361,0.0,0.0083221051040779,8.9,41.6,3100.2,1114.4,66653.9,17.0,2
Мурманская область,814891.1666666666,41757.6,4.6728112056584014e-05,0.4215176382449436,768733.3200000001,10.78,22.48,225853.8,40.35,3.825,55.75,473014.8782761466,77261.4137497497,0.0,0.0106731063445707,9.2,74.1,2247.0,1772.7,87319.0,17.7,0
Новгородская область,646057.125,25721.0,4.774410271527004e-05,1.10550402179993,438097.34,13.94,22.98,191475.8,33.325,7.25,59.4,328848.5641907486,33379.10725638698,0.0,0.0105286940869965,10.9,95.3,4098.3,1669.8,88536.3,17.6,3
Псковская область,692141.9166666666,24231.4,5.075892415987164e-05,0.8396395825856042,286322.82,17.220000000000002,21.96,178371.4,34.95,7.075,57.925,176044.9938259568,18546.774399540765,0.0,0.0098837847178682,5.4,106.3,3171.4,1085.3,70723.5,15.0,3
г. Санкт-Петербург,4974375.791666667,44713.2,0.0,1.417560070916435,879833.5799999998,6.88,16.119999999999997,261809.6,17.433333333333334,3.266666666666667,46.0,470536.35045527614,39533.55820390049,0.0111370757498476,0.0114537473839232,11.3,22.1,2873.1,1820.7,101498.4,15.7,2
Республика Адыгея (Адыгея),448121.0,27704.0,4.753128398867941e-05,0.8992599097118859,265399.32,12.860000000000005,19.98,205971.2,40.075,9.6,50.35,110825.1902663872,6654.680236152188,0.0386056444576353,0.011565794130023,0.0,0.0,3488.3,709.4,66252.3,19.6,3
Республика Калмыкия,287282.5416666667,17471.6,4.993504495261527e-05,0.896733050694431,305194.8,24.16,22.74,77126.4,27.025,1.95,46.025000000000006,3150.680214259464,10757.18211457254,0.0,0.0130380896274052,0.0,0.0,2493.8,1324.6,71872.7,20.2,1
Республика Крым,1906416.375,20896.2,0.0,0.7797813843263909,227127.24000000005,18.880000000000003,13.16,132196.2,43.875,5.25,50.87499999999999,48585.68686960408,20881.113915092807,0.0297731391443802,0.0108202539320485,0.0,0.0,2494.1,912.1,52086.6,19.0,3
Краснодарский край,5325705.25,34628.6,4.957505470181967e-05,0.9423304077896538,439966.5800000001,10.72,22.4,244479.8,40.875,8.025,51.1,170480.51819204356,20550.37754884292,0.0285032672433383,0.0120108336164808,0.0,0.0,6010.8,1523.9,67335.5,18.1,3
Астраханская область,1009587.7083333334,23913.0,7.150834350343692e-05,0.5207358366792054,497990.36,15.56,26.36,170492.0,40.175,4.9,54.9,66290.21284829898,28270.03156703833,0.0,0.0132513031514036,0.0,0.0,2930.1,2029.4,64679.9,19.2,3
Волгоградская область,2604571.2916666665,23058.2,4.588658147577567e-05,0.8070587304426988,361840.4,13.24,24.94,154123.8,39.425,6.225,54.3,327043.1045408939,28278.022102987237,0.0,0.0103880674917584,0.0,0.0,2751.4,1508.2,64210.5,0.0,3
Ростовская область,4297288.416666667,29134.0,5.724149230464702e-05,0.9904160687686367,365495.18,13.52,24.96,218733.2,40.375,4.925000000000001,54.7,201941.80959128804,36517.29173407583,0.0,0.0105090034192342,0.0,0.0,4229.2,1282.9,81083.3,18.2,3
г. Севастополь,450632.25,28684.2,0.0,0.5330954453437365,264834.82,11.2,12.88,147442.2,41.46666666666667,4.966666666666667,53.5,31859.744190943013,22066.343045320333,0.021791605017173,0.0107631359785173,0.0,0.0,1357.3,598.9,52350.6,13.7,3
